epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,267.701,0.39688,0.22946,0.00096,0.97767,0.9758,0.9937,0.93838,0.40183,0.17322,0.00264,0.00108088,0.00108088,0.00108088
43,273.732,0.39907,0.23,0.001,0.96756,0.97656,0.99355,0.96216,0.2907,0.17301,0.00175,0.00107675,0.00107675,0.00107675
44,279.764,0.38873,0.2306,0.00097,0.98429,0.95134,0.9927,0.91944,0.36985,0.20661,0.00222,0.00107263,0.00107263,0.00107263
45,285.814,0.39468,0.23628,0.00097,0.98059,0.96571,0.99269,0.95938,0.3039,0.18845,0.00192,0.0010685,0.0010685,0.0010685
46,291.864,0.38222,0.22182,0.00095,0.97446,0.98647,0.99369,0.93476,0.35911,0.17034,0.00199,0.00106437,0.00106437,0.00106437
47,297.904,0.38766,0.21718,0.00097,0.97745,0.97824,0.99267,0.9307,0.38729,0.21377,0.00257,0.00106025,0.00106025,0.00106025
48,303.955,0.37922,0.21171,0.00095,0.95725,0.98158,0.99397,0.94796,0.34962,0.1735,0.0026,0.00105612,0.00105612,0.00105612
49,310.015,0.36988,0.21228,0.0009,0.94976,0.99253,0.99354,0.96333,0.29868,0.15874,0.00197,0.001052,0.001052,0.001052
50,316.06,0.38781,0.21901,0.00095,0.96688,0.97272,0.99463,0.95305,0.34815,0.16838,0.00202,0.00104787,0.00104787,0.00104787
51,322.087,0.38065,0.21533,0.00094,0.98446,0.99124,0.99476,0.95277,0.31703,0.13572,0.0023,0.00104375,0.00104375,0.00104375
52,328.133,0.36237,0.19448,0.00093,0.98035,0.98111,0.99432,0.97097,0.32364,0.15159,0.00224,0.00103962,0.00103962,0.00103962
53,334.275,0.37613,0.22074,0.00094,0.88613,0.99762,0.99415,0.96082,0.35684,0.18005,0.00252,0.0010355,0.0010355,0.0010355
54,340.343,0.37486,0.2118,0.00094,0.98913,0.97938,0.99408,0.97281,0.27924,0.12801,0.00195,0.00103138,0.00103138,0.00103138
55,346.503,0.35792,0.20334,0.00087,0.97122,0.98677,0.99446,0.95539,0.34395,0.14258,0.00225,0.00102725,0.00102725,0.00102725
56,354.063,0.37028,0.20178,0.00092,0.98963,0.98702,0.99462,0.97439,0.28786,0.12037,0.00187,0.00102312,0.00102312,0.00102312
57,361.81,0.35971,0.19948,0.0009,0.99101,0.9776,0.99478,0.97953,0.27312,0.11892,0.00185,0.001019,0.001019,0.001019
58,369.449,0.36004,0.19845,0.00088,0.98177,0.98641,0.9946,0.96562,0.27888,0.11743,0.00177,0.00101488,0.00101488,0.00101488
59,377.092,0.34592,0.19433,0.00086,0.95869,0.97897,0.99424,0.96889,0.27692,0.14067,0.00191,0.00101075,0.00101075,0.00101075
60,384.656,0.35287,0.19196,0.00089,0.94363,0.95261,0.98634,0.93949,0.33159,0.16304,0.00229,0.00100663,0.00100663,0.00100663
61,392.236,0.35289,0.18759,0.00087,0.94466,0.9735,0.96677,0.93556,0.34137,0.16531,0.0025,0.0010025,0.0010025,0.0010025
62,399.846,0.37841,0.20251,0.00097,0.95162,0.98762,0.99382,0.93326,0.43959,0.19439,0.00342,0.000998375,0.000998375,0.000998375
63,407.462,0.39565,0.21485,0.001,0.9557,0.9847,0.99314,0.94823,0.30704,0.15238,0.00223,0.00099425,0.00099425,0.00099425
64,415.03,0.37693,0.20527,0.00096,0.99161,0.9821,0.99438,0.97443,0.27974,0.13722,0.00201,0.000990125,0.000990125,0.000990125
65,422.629,0.35445,0.20038,0.00086,0.83366,1,0.93414,0.90793,0.31122,0.16181,0.00206,0.000986,0.000986,0.000986
66,430.247,0.34305,0.17863,0.00086,0.9746,0.98772,0.99409,0.97304,0.29265,0.12619,0.0019,0.000981875,0.000981875,0.000981875
67,436.968,0.34714,0.18999,0.00085,0.9894,0.97744,0.99403,0.95452,0.36077,0.14249,0.00286,0.00097775,0.00097775,0.00097775
68,443.02,0.36163,0.1906,0.0009,0.97202,0.99048,0.99381,0.97508,0.26852,0.13551,0.00174,0.000973625,0.000973625,0.000973625
69,449.038,0.35236,0.19842,0.00089,0.98077,0.99207,0.99455,0.97684,0.29556,0.12039,0.00183,0.0009695,0.0009695,0.0009695
70,455.075,0.34279,0.18259,0.00085,0.97382,0.97014,0.99467,0.97568,0.25588,0.12421,0.00169,0.000965375,0.000965375,0.000965375
71,461.111,0.33398,0.18092,0.00082,0.98818,0.97028,0.99385,0.95656,0.33817,0.15477,0.00276,0.00096125,0.00096125,0.00096125
72,467.16,0.3462,0.19284,0.00086,0.98652,0.98158,0.99486,0.96701,0.32599,0.13092,0.00228,0.000957125,0.000957125,0.000957125
73,473.196,0.33621,0.18085,0.00083,0.98469,0.99175,0.99481,0.96811,0.3033,0.12169,0.00201,0.000953,0.000953,0.000953
74,479.236,0.34094,0.18119,0.00084,0.98528,0.98987,0.99464,0.97878,0.26999,0.11033,0.00175,0.000948875,0.000948875,0.000948875
75,485.289,0.34937,0.18021,0.00087,0.99226,0.98268,0.99496,0.96256,0.33124,0.13621,0.00258,0.00094475,0.00094475,0.00094475
76,491.319,0.35243,0.18595,0.00087,0.97934,0.99344,0.99467,0.97699,0.2672,0.12247,0.00173,0.000940625,0.000940625,0.000940625
77,497.368,0.33894,0.17852,0.00083,0.98117,0.98633,0.9946,0.94216,0.38121,0.13969,0.00257,0.0009365,0.0009365,0.0009365
78,503.401,0.32227,0.17461,0.00078,0.98121,0.98602,0.99453,0.97225,0.26613,0.11829,0.00165,0.000932375,0.000932375,0.000932375
79,509.422,0.34398,0.18163,0.00084,0.98381,0.98902,0.99476,0.97589,0.27355,0.11772,0.00182,0.00092825,0.00092825,0.00092825
80,515.459,0.33278,0.17508,0.0008,0.98124,0.99094,0.99479,0.96609,0.29649,0.12598,0.00198,0.000924125,0.000924125,0.000924125
81,521.505,0.33393,0.18271,0.00084,0.98349,0.97805,0.99288,0.96166,0.30122,0.14837,0.00203,0.00092,0.00092,0.00092
82,527.55,0.33443,0.17973,0.00082,0.98362,0.98404,0.99379,0.96133,0.32091,0.13347,0.0024,0.000915875,0.000915875,0.000915875
